Stock,BuyPrice,BuyVolume,SellPrice,SellVolume
002048.SZ,135879.134474696,4925941576,144741.54028994372,68695405597
002056.SZ,183216.92377371437,46753964899,195846.53116208906,889565594362
002065.SZ,54846.973618808646,24872013633,58087.02795316976,141046819823
002078.SZ,111836.54752892964,34090649428,118011.36768813359,390833968551
002080.SZ,209894.39129126162,15312784173,221926.88767711527,328605901868
002081.SZ,46818.62506702813,11493745734,49798.28795014428,55475057565
002110.SZ,45604.303050529044,11510677731,48751.7851048648,53976610058
002124.SZ,59534.60951933857,58467039178,62684.90172042281,354272695750
002127.SZ,46290.628072821564,175248030947,49182.77275355558,834414743719
002128.SZ,119689.16362283597,19601718525,128647.95072216983,240293891950
002131.SZ,17180.77990594421,139732335763,17965.660470767532,244948151626
002138.SZ,248631.28165175975,9044994525,265140.52125170385,235280999017
002146.SZ,21112.277667754228,62371740947,22293.611598775737,135562401405
002152.SZ,95984.05551871989,58490707400,103066.70686080877,580502604227
002153.SZ,146432.69040491144,9598514220,154703.13736852584,145036812460
002155.SZ,125599.28204677759,28317673722,133974.92364566866,366098396322
002156.SZ,160986.20510209352,69745464361,174460.18184977846,1164435195252
002183.SZ,60558.16505646688,325703688093,65901.91328172704,2039298615169
002185.SZ,80558.19460269784,35136082171,85433.14715471538,290718293149
002191.SZ,70542.0664853012,12606177980,75046.7389151844,91110921212
002192.SZ,957481.7183108801,11709397835,1029322.7940672815,1166932090667
002195.SZ,19526.53608743134,111166904527,20513.41828200655,222228812902
002203.SZ,109811.34464920612,3654509033,115471.77516850691,41315928603
002212.SZ,96389.84158709669,22164334512,102807.68005476292,219738482445
002221.SZ,74216.5619087496,5536432786,79154.13609359296,42342392239
002223.SZ,305964.4210781358,67903241060,332638.0691348667,2142296472231
002242.SZ,158330.44515467068,8051371683,168756.93103379043,131401363424
002244.SZ,85182.455450394,99993763026,90807.35882619447,875844395189
002249.SZ,50118.69777740346,20491989980,53075.09713595977,105846243498
002250.SZ,150493.22914493486,30145221916,159567.2126255472,466196810623
002266.SZ,38087.66885622551,10693454266,40301.093903641995,41881651218
002268.SZ,297625.28073298745,28460288092,317354.6597312281,872487247189
002273.SZ,115186.16316178773,17027331489,121645.84851345973,201794172551
002281.SZ,152025.67864728378,2603230562,162172.24883107844,40972562414
002294.SZ,305676.37700809876,14068572249,342012.28462205024,465186958941
002299.SZ,225142.28682867755,22391890745,242201.98825168103,523605231940
002326.SZ,212518.04680268728,26114838510,227753.8491535075,576407220960
002340.SZ,72834.01910099592,47227123218,77032.36459110124,351998575853
002353.SZ,272248.28487813397,13943721215,290734.46034335793,391867511163
002368.SZ,274412.2252586069,24791745741,296684.58168201556,700783215641
002372.SZ,207879.10375657052,10493909412,219916.9854784626,224313563665
002373.SZ,85192.09190747495,6564172199,91326.8937325287,58113092600
002384.SZ,241065.7963927653,43738831274,258615.92036483428,1095439044321
002385.SZ,84608.64210044409,299603151566,91317.07884750213,2604547969800
002396.SZ,185834.30648512236,10519327011,198308.58152366814,201316936422
002399.SZ,125000.94939676914,2509914166,134402.77604678657,32133473950
002407.SZ,326811.2121262956,28575042151,348580.82270100573,967805443724
002409.SZ,496546.06064207735,7915641397,529290.4350397403,405641066910
002416.SZ,86683.3048498277,14313740801,94964.62331246214,132175553330
002422.SZ,259127.0123955515,78845705015,276403.0472550258,2099468695010
002423.SZ,69982.95865601786,64140512447,74892.9467093795,461212925984
002430.SZ,381763.09039348585,4394698747,405519.8579724901,174117698815
002434.SZ,79043.38045281102,33798314660,84178.07937952576,275724845248
002439.SZ,251780.8269429318,18073237010,269168.90912967233,473650620079
002444.SZ,185191.33753236735,22449166871,196446.490511677,427229871766
002465.SZ,78100.06957839576,6627124626,83780.81785864015,53807718718
002468.SZ,99840.35650595378,36429775947,106022.76693286738,373303306849
002497.SZ,228660.94889194984,24216969892,242147.72352444055,568398411010
002500.SZ,51401.70981020808,9328944654,55118.0261623534,49360602088
002505.SZ,24481.596988141162,202632671940,26082.37941658358,510430494703
002506.SZ,28436.882859751717,52720079942,30014.69949086835,153380261663
002507.SZ,249816.67635382788,17872430621,266246.02167791215,457651345953
002508.SZ,267992.62141899567,19285825041,287283.4412615393,532567098003
002511.SZ,133734.37279371137,27802704567,142754.0166782736,382697259563
002531.SZ,146556.90275859862,85040244297,157334.15019556362,1295000649080
002532.SZ,75614.26567128891,40276768549,80188.23164274947,313597462393
002557.SZ,485627.48783315794,7591205851,511358.9006576954,377712657046
002563.SZ,50756.990225454014,10478389500,54806.59602676483,54697128387
002568.SZ,363107.21159382735,10649178689,390657.15285621275,396316432673
002572.SZ,175440.56139607658,19838045766,189876.11096110972,357203832661
002595.SZ,224034.6234243983,1987185300,241681.90463187738,45926235762
002603.SZ,292811.64585689903,214613124991,317406.7708556746,6529631819166
002624.SZ,123101.5705689014,91814146690,132160.57092911005,1160712202959
002625.SZ,165774.78645688138,15820868857,178012.45759717195,269552049561
002653.SZ,217782.64688508236,10002256893,235645.26039002903,226474306594
002670.SZ,72199.98954905414,9433260996,77230.72864092434,70148522273
002673.SZ,59392.55573911314,13548808637,62624.87311931168,82759540981
002683.SZ,261748.02574914673,4764035145,276679.2392356981,128443131280
002690.SZ,231733.95291320462,6712965607,246404.89942405693,161363345286
002701.SZ,49353.9534404272,161064718092,51832.43920885257,821408252658
002705.SZ,162372.6103619437,13321280922,175132.84719638506,221749020206
002738.SZ,654363.048208774,32877716316,708451.1164221143,2230779103383
002739.SZ,134759.3549464746,71636546395,145355.25060617484,1000377295507
002745.SZ,79235.36190774177,12005513280,84026.01519324681,97189158305
002797.SZ,54891.50667185528,34472715149,58356.81209622179,193867780798
002831.SZ,320064.5815923223,6335173245,335214.421988521,208137862142
002850.SZ,1175384.1809101102,5149668544,1264424.0205468424,626655777023
002867.SZ,135971.30471595225,7304168868,144720.80003264514,101948089163
002901.SZ,329170.57660432387,3402387736,358306.5113487166,117223640603
002925.SZ,160968.08669658957,2565589317,171557.19403258045,42669709821
002926.SZ,73994.72359605214,24705618237,78633.60079605739,187996200004
002936.SZ,23177.93165718263,45449057231,24093.818980721306,107231697187
002939.SZ,80400.34959137667,27527572309,85346.59039295246,227628945837
002945.SZ,129439.39889446745,7790143438,137536.3246400863,103047664434
002958.SZ,28371.660594832603,56598336081,29688.135477323973,163147698433
002966.SZ,75843.51384345161,57015435781,80228.31754315789,447304169132
002985.SZ,440091.65877877525,1494371695,463087.3569054546,67825817621
003035.SZ,55228.1531810376,7099270961,58766.00199554202,40261685829
300001.SZ,146587.99891133883,9247035126,164903.52492455445,141292540963
